latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
-27.44827,150.07265,306.4,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,286.1,1.9
-27.44597,150.0845,322.5,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,286.1,2.8
-27.64904,151.1969,296.3,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.3,0.6
-27.18384,149.83714,295.3,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.1,1
-27.17918,149.83844,297.7,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.1,0.8
-27.65446,152.69708,305.6,0.6,0.4,2017-04-30,14:30,N,nominal,1.0NRT,283.6,1.3
-27.50174,152.28673,328.2,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,286.5,3.1
-27.5035,152.29004,296.9,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.7,1
-27.50271,152.28603,320.6,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,286.3,1
-27.4987,152.28711,298.7,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,285.2,1
-27.03143,150.56676,299.4,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.8,1.1
-27.03033,150.5617,312.9,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.8,1.6
-27.03029,150.56372,321,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,285.6,1.8
-27.17247,151.80803,302.2,0.4,0.5,2017-04-30,14:30,N,nominal,1.0NRT,284.3,0.8
-22.05919,147.57059,297.1,0.5,0.7,2017-04-30,14:30,N,nominal,1.0NRT,286.5,2.1
-22.05808,147.56581,337.6,0.5,0.7,2017-04-30,14:30,N,nominal,1.0NRT,287.9,3.8
-22.55384,150.35349,309.4,0.6,0.6,2017-04-30,14:30,N,nominal,1.0NRT,288.6,2
-22.55266,150.34805,299.5,0.6,0.6,2017-04-30,14:30,N,nominal,1.0NRT,288,1.4
-21.90331,149.11758,296.8,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,286.4,0.2
-21.89379,149.12642,298,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,286.9,0.7
-21.88209,149.12543,300.3,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,287.1,0.9
-21.88115,149.12123,298.2,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,286.9,0.6
-21.88024,149.11711,298.6,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,286.9,0.6
-20.83349,148.17409,297.8,0.5,0.7,2017-04-30,14:30,N,nominal,1.0NRT,286.4,0.3
-20.83045,148.17513,300.4,0.5,0.7,2017-04-30,14:30,N,nominal,1.0NRT,287.2,0.7
-21.60634,166.23306,312.3,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,291.5,1.6
-21.60193,166.23366,310.5,0.5,0.5,2017-04-30,14:30,N,nominal,1.0NRT,293.4,1.6
-21.01879,164.68352,330.9,0.6,0.4,2017-04-30,14:30,N,nominal,1.0NRT,292.5,5.4
-21.0148,164.68399,314.4,0.6,0.4,2017-04-30,14:30,N,nominal,1.0NRT,292.3,1.7
-19.53188,169.44904,309.7,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,270.2,1.5
-19.53155,169.44589,310,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,269.7,1.5
-19.52662,169.45009,295.1,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,269.6,0.5
-19.52629,169.44695,295.4,0.4,0.6,2017-04-30,14:30,N,nominal,1.0NRT,269.3,0.5
56.64062,161.32533,335.5,0.5,0.7,2017-04-30,14:06,N,nominal,1.0NRT,268,12
56.6433,161.32677,330.4,0.5,0.7,2017-04-30,14:06,N,nominal,1.0NRT,267.7,13.9
40.97224,-8.26262,330.3,0.5,0.4,2017-04-30,13:42,N,nominal,1.0NRT,284.6,3.4
38.50076,-8.9362,329.3,0.4,0.4,2017-04-30,13:42,N,nominal,1.0NRT,292.1,3.9
35.81231,-0.25235,367,0.4,0.6,2017-04-30,13:42,N,nominal,1.0NRT,294.1,11.4
